国家,汇总,2020/4/1,2020/4/2,2020/4/3,2020/4/4,2020/4/5,2020/4/6,2020/4/7,2020/4/8,2020/4/9,2020/4/10,2020/4/11,2020/4/12,2020/4/13,2020/4/14,2020/4/15,2020/4/16,2020/4/17,2020/4/18,2020/4/19,2020/4/20,2020/4/21,2020/4/22,2020/4/23,2020/4/24,2020/4/25,2020/4/26,2020/4/27,2020/4/28,2020/4/29,2020/4/30
尼日尔,713,34,74,98,120,144,184,253,278,342,410,438,491,529,548,570,584,609,627,639,648,655,657,662,671,681,684,696,701,709,713
钻石公主号邮轮,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712
斯里兰卡,649,146,150,152,162,174,178,185,189,190,190,198,203,217,219,235,238,242,248,269,304,310,323,337,416,440,477,581,599,622,649
布基纳法索,641,261,288,288,302,318,345,364,384,414,443,448,484,497,515,528,542,546,557,565,576,581,600,609,616,629,629,632,635,638,641
乌拉圭,630,338,350,369,386,400,406,415,424,456,473,494,501,501,501,501,501,502,508,517,528,535,543,549,577,577,596,606,620,625,630
危地马拉,585,39,46,47,50,61,70,77,87,95,126,137,153,155,167,180,196,214,235,257,289,294,316,342,384,430,473,500,530,557,585
索马里,582,5,5,5,7,7,7,7,8,12,12,21,21,25,60,60,80,80,116,135,164,237,286,286,328,390,390,480,480,582,582
圣马力诺,563,236,236,245,251,266,266,277,279,308,344,356,356,356,371,372,426,426,435,461,462,476,488,501,501,513,538,538,538,563,563
格鲁吉亚,539,115,130,148,157,170,188,195,208,214,230,234,252,266,299,309,336,370,385,394,399,408,411,420,431,456,485,496,511,517,539
刚果（金）,500,109,123,134,148,154,161,180,183,207,215,223,234,235,241,254,267,287,307,327,332,350,359,377,394,416,442,459,471,491,500
巴勒斯坦,499,134,155,171,210,226,252,260,263,263,266,268,268,290,308,308,374,402,418,431,499,461,474,480,480,484,495,495,495,497,497
马里,482,31,31,39,41,41,47,56,56,74,87,87,116,,,,,,,,,258,293,293,310,325,370,389,408,424,482
坦桑尼亚,480,19,20,20,20,20,24,24,24,25,32,32,32,46,49,59,94,147,147,147,170,254,284,284,284,299,299,299,299,480,480
马耳他,465,188,196,202,213,227,241,293,299,337,350,370,378,384,393,399,412,422,426,427,431,443,444,445,447,448,448,450,458,463,465
马约特,460,92,116,116,128,134,147,164,171,184,191,191,196,207,217,217,233,245,254,254,271,284,311,326,354,354,401,401,460,460,460
约旦,451,274,278,299,310,323,345,349,353,358,372,372,381,389,391,397,401,402,407,413,417,425,428,435,437,444,444,447,449,449,451
留尼汪岛,418,247,281,308,321,344,344,349,358,362,362,382,388,391,391,391,391,394,407,407,408,410,410,410,412,412,417,417,417,418,418
肯尼亚,384,81,110,122,126,142,158,172,179,184,189,191,197,208,216,225,234,246,262,270,281,296,303,320,336,343,355,363,374,384,384
牙买加,381,36,44,47,53,55,58,59,63,63,63,65,69,72,73,105,125,143,163,173,196,223,233,252,257,288,305,350,364,381,381
毛里求斯,334,147,161,186,196,227,244,268,273,314,314,319,324,324,324,324,324,324,325,328,328,328,328,329,331,331,331,334,334,334,334
委内瑞拉,331,143,143,146,153,155,159,165,166,167,171,175,175,181,189,197,197,204,227,227,256,285,288,298,311,318,323,325,329,329,331
黑山,322,120,140,160,197,203,223,241,248,252,255,262,267,273,278,288,290,303,305,308,311,313,314,316,319,319,321,321,321,321,322
赤道几内亚,315,15,15,15,16,16,16,16,16,18,18,18,21,21,21,41,51,51,79,79,79,79,83,84,84,214,258,258,258,315,315
马恩岛,313,32,75,114,121,127,138,150,158,171,190,204,226,,,,,,,,,300,307,307,307,308,308,308,308,309,313
马尔代夫,280,19,19,19,19,19,19,19,19,19,19,19,20,20,20,21,23,28,34,51,67,83,86,94,116,137,191,226,245,269,280
加蓬,276,18,18,21,21,21,24,30,30,34,44,46,49,57,57,80,80,95,108,109,109,120,156,166,167,172,176,176,211,238,276
巴拉圭,249,69,77,92,96,104,113,115,119,124,129,133,134,147,159,161,174,199,202,206,208,208,213,213,220,223,228,228,230,239,249
卢旺达,225,75,82,84,89,102,104,105,105,110,113,118,120,126,127,134,136,138,143,144,147,147,150,153,154,176,183,191,207,212,225
刚果（布）,220,22,22,41,41,45,49,49,49,60,60,60,70,70,70,117,117,143,143,143,160,160,165,186,186,200,200,200,207,207,220
几内亚比绍,205,8,9,9,15,18,18,33,33,33,36,38,39,,,,,,,,,50,50,52,52,52,53,53,73,73,205
法罗群岛,187,173,173,179,181,181,183,184,184,184,184,184,184,184,184,184,184,184,184,185,185,185,185,187,187,187,187,187,187,187,187
缅甸,150,16,20,20,21,21,22,22,22,23,27,31,39,,,,,,,,,119,121,132,139,144,146,146,149,150,150
瓜德罗普,149,114,125,128,130,134,135,139,139,141,143,143,143,143,145,145,145,145,145,148,148,148,148,148,149,149,149,149,149,149,149
直布罗陀,141,69,81,88,98,103,103,109,113,120,123,127,129,129,129,129,131,132,132,132,132,132,132,132,133,133,136,141,141,141,141
直布罗陀,141,69,81,88,98,103,103,109,113,120,123,127,129,129,129,129,131,132,132,132,132,132,132,132,133,133,136,141,141,141,141
文莱,138,131,133,134,135,135,135,135,135,135,136,136,136,136,136,136,136,136,137,138,138,138,138,138,138,138,138,138,138,138,138
埃塞俄比亚,131,29,29,35,38,43,44,52,55,56,65,69,71,74,82,85,92,96,105,108,111,114,116,116,117,122,123,124,126,130,131
马达加斯加,128,57,59,65,70,72,72,82,93,93,93,102,106,,,,,,,,121,121,121,121,122,123,124,124,128,128,128
法属圭亚那,125,43,51,51,57,61,68,72,77,83,83,83,86,86,86,86,86,96,96,96,97,97,97,107,107,111,111,111,124,125,125
柬埔寨,122,109,110,114,114,114,114,115,117,119,119,120,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122
特立尼达和多巴哥,116,89,90,97,100,104,105,106,107,109,109,109,113,113,113,114,114,114,114,114,114,114,115,115,115,115,115,116,116,116,116
特立尼达和多巴哥,116,89,90,97,100,104,105,106,107,109,109,109,113,113,113,114,114,114,114,114,114,114,115,115,115,115,115,116,116,116,116
佛得角,114,6,6,6,7,7,7,7,7,7,7,8,8,10,10,56,56,56,58,61,67,67,68,82,88,90,106,109,114,114,114
百慕大,111,22,27,35,35,35,37,39,39,39,48,48,50,,,,,,,,,86,98,99,99,99,109,109,109,110,111
多哥,109,36,39,40,41,44,52,58,70,73,76,76,76,76,77,81,81,83,84,84,84,84,88,88,90,96,96,98,99,109,109
阿鲁巴,100,50,55,60,62,64,64,71,74,77,82,86,92,92,92,92,93,95,96,96,97,97,97,100,100,100,100,100,100,100,100
赞比亚,97,36,39,39,39,39,39,39,39,39,40,40,43,45,45,48,48,52,57,61,65,70,74,74,84,84,88,88,95,97,97
摩纳哥,95,52,55,60,64,66,73,77,79,81,84,90,92,93,93,93,93,93,94,94,94,94,94,94,94,94,94,94,95,95,95
斯威士兰,91,9,9,9,9,9,10,10,10,12,12,12,14,14,15,15,16,16,19,22,24,24,31,31,36,40,59,59,71,71,91
乌干达,81,44,44,45,48,48,52,52,52,53,53,53,53,,,,,,,,,58,61,63,74,75,75,79,79,79,81
巴巴多斯,80,34,45,46,51,52,56,60,63,63,66,67,68,74,74,74,75,75,75,75,75,75,75,76,76,77,79,79,79,80,80
巴巴多斯,80,34,45,46,51,52,56,60,63,63,66,67,68,74,74,74,75,75,75,75,75,75,75,76,76,77,79,79,79,80,80
圭亚那合作共和国,78,8,19,19,23,24,29,31,33,37,37,40,45,45,47,48,55,57,63,63,65,66,67,67,70,73,74,74,74,74,78
莫桑比克,76,8,10,10,10,10,10,10,17,17,17,20,21,,,,,,,,,39,41,41,46,70,76,76,76,76,76
